Sponsor Name,Site Name,County,Street,City,Zip Code,Start Date,End Date,Meals,Days,Time,ContactPhone,Email,Notes
Cowan Community School Corporation,Cowan Elementary School,Delaware,1000 West CR 600 South,Muncie,47302,3/18/2020,4/30/2020,Brk Lun,Contact school for more information,Contact school for more information,(812) 841-7832,clara.lopez@compass-usa.com,School Webpage with Meal Info
Delaware Community School Corp,Desoto UMC,Delaware,6309 N CR 500 E,Muncie,47303,3/23/2020,8/5/2020,Brk Lun ,MTWRF,11:00 AM to 12:30 PM,(765) 287-8567,,
Muncie Community Schools,Longfellow Elementary School,Delaware,1900 East Centennial Ave.,Muncie,47303,3/16/2020,5/1/2020,Brk Lun,MTWRF,11:00 AM to 01:00 PM,(765) 702-4767,,
Muncie Community Schools,Northside Middle School,Delaware,2400 W. Bethel Ave.,Muncie,47304,3/16/2020,5/1/2020,Brk Lun,MTWRF,11:00 AM to 01:00 PM,(765) 702-3421,genesis.curts@compass-usa.com,
Wes-Del Community School Corporation,Countryview Farms,Delaware,5900 w Cr 350 n,Muncie,47304,3/16/2020,7/17/2020,Lun,M,12:00 PM to 01:00 PM,(765) 358-4006,Phirons@wes-del.org,
Muncie Community Schools,Central High School,Delaware,801 N. Walnut St.,Muncie,47305,3/16/2020,5/1/2020,Brk Lun,MTWRF,11:00 AM to 01:00 PM,(904) 382-3514,stephanie.bond@compass-usa.com,
Muncie Community Schools,Mobile Bus Route 1,Delaware,801 N Walnut St,Muncie,47305,3/23/2020,4/27/2020,Brk Lun,M,11:00 AM to 01:00 PM,(904) 382-3514,stephanie.bond@compass-usa.com,Delivery instead of on-site pickup
Wes-Del Community School Corporation,Wes-Del Elementary School,Delaware,500 Jackson Street,Gaston,47342,3/16/2020,7/17/2020,Lun ,M,12:00 PM to 01:00 PM,(765) 358-4091,phirons@wes-del.org,
Liberty-Perry Community Schools,Selma Elementary School,Delaware,200 S. East St,Selma,47383,3/16/2020,5/21/2020,Brk Lun,MTWRF,11:00 AM to 12:30 PM,(765) 282-2455,smorvilius@libertyperry.org,
Yorktown Community Schools,Yorktown High School,Delaware,1100 Tiger Dr,Yorktown,47396,3/17/2020,6/30/2020,Lun,Contact school for more information,Contact school for more information,(765) 759-2592,pgarrett@yorktown.k12.in.us,School Webpage with Meal Info
Southwest Dubois County Schools,Huntingburg Elementary School,Dubois,501 W. Sunset Drive,Huntingburg,47542,3/17/2020,5/1/2020,Brk Lun,MTWRF,11:30 AM to 12:30 PM,(812) 683-1172,cottono@swdubois.k12.in.us,
Greater Jasper Cons Schools,Jasper High School,Dubois,1600 St. Charles Street,Jasper,47546,3/17/2020,5/1/2020,Brk Lun,T,11:30 AM to 01:00 PM,(812) 481-4887,kknies@gjcs.k12.in.us,
Southeast Dubois County Schools,Forest Park High School,Dubois,1440 Michigan Street,Ferdinand,47352-9222,3/17/2020,5/1/2020,Lun,Contact school for more information,Contact school for more information,(812) 817-0900,janel.reckelhoff@sedubois.k12.in.us,School Webpage with Meal Info
Southeast Dubois County Schools,Pine Ridge Elementary School,Dubois,4613 South Pine Ridge Road,Birdseye,47513-9717,3/17/2020,5/1/2020,Lun,Contact school for more information,Contact school for more information,(812) 817-0900,janel.reckelhoff@sedubois.k12.in.us,School Webpage with Meal Info
Elkhart Community Schools,Bristol Elem. School,Elkhart,705 Indiana Street,Bristol,46507,3/18/2020,4/30/2020,Brk Lun,MW,10:00 AM to 10:30 AM,(574) 848-7421,,
Elkhart Community Schools,Mary Daly Elem. School,Elkhart,1735 Strong Ave,Elkhart,46514,3/23/2020,5/1/2020,Brk Lun,MW,11:00 AM to 11:30 AM,(574) 262-4870,,
Elkhart Community Schools,Mary Feeser Elem. School,Elkhart,26665 CR 4 W,Elkhart,46514,3/23/2020,5/1/2020,Brk Lun,MTWRF,11:00 AM to 11:30 AM,(574) 262-5586,,
Elkhart Community Schools,Pinewood Elementary School,Elkhart,3420 E. Bristol Street,elkhart,46514,3/23/2020,5/1/2020,Brk Lun,MW,11:00 AM to 11:30 AM,(574) 262-5595,,
Elkhart Community Schools,Woodland Elem. School,Elkhart,1220 CR 3,Elkhart,46514,3/18/2020,4/30/2020,Brk Lun,MW,10:00 AM to 10:30 AM,(574) 262-5578,,
Concord Community Schools,Concord East Side Elementary,Elkhart,57156 County Road 13 South,Elkhart,46516,3/17/2020,5/29/2020,Brk Lun ,TF,12:00 PM to 01:00 PM,(574) 875-8517,,
Elkhart Community Schools,Roosevelt STEAM Academy,Elkhart,201 Wolf Ave,Elkhart,46516,3/18/2020,4/30/2020,Brk Lun,MTWRF,11:00 AM to 11:30 AM,(574) 295-4840,,
Baugo Community School Corp,Jimtown North Head Start Center,Elkhart,30046 CR 16,Elkhart,46516,3/17/2020,6/30/2020,Brk Lun,MW,11:00 AM to 12:30 PM,(574) 293-8583,kjohnson@baugo.org,School Webpage with Meal Info
Concord Community Schools,Concord High School,Elkhart,59117 Minuteman Way,Elkhart,46517,3/17/2020,6/30/2020,Brk Lun ,TF,11:00 AM to 01:00 PM,(574) 875-5161,twilmore@concord.k12.in.us,
Elkhart Community Schools,Monger Elem. School,Elkhart,1100 E Hively,Elkhart,46517,3/23/2020,5/1/2020,Brk Lun,MTWRF,10:00 AM to 10:30 AM,(574) 295-4860,,
Goshen Community Schools,Brookside Manor Mobile Home Park,Elkhart,61108 County Road 17,Goshen,46526,3/18/2020,5/31/2020,Brk Lun,MW,11:00 AM to 01:00 PM,(574) 533-7855,jsmith@goshenschools.org,
Goshen Community Schools,Chandler Elementary School,Elkhart,419 S 8th St,Goshen,46526,3/16/2020,5/31/2020,Brk Lun,MW,11:00 AM to 01:00 PM,(574) 533-8631,ehussey@goshenschools.org,
Goshen Community Schools,Roxbury Park,Elkhart,403 Post Rd,Goshen,46526,3/18/2020,5/31/2020,Brk Lun,MW,11:00 AM to 01:00 PM,(574) 533-0391,jsmith@goshenschools.org,
Goshen Community Schools,Winchester Trails,Elkhart,400 Winchester Trails,Goshen,46526,3/16/2020,5/31/2020,Brk Lun,MW,11:00 AM to 01:00 PM,(574) 533-0391,jsmith@goshenschools.org,
Wa-Nee Community Schools,Harrison Ridge/Weaver Woods,Elkhart,Near 1650 Harrison Ridge Lane,Goshen,46526,3/17/2020,6/30/2020,Lun,MW,11:00 AM to 1:00 PM,(574) 862-2710,scripe@wanee.org,School Webpage with Meal Info
Wa-Nee Community Schools,Yellow Creek Daycare,Elkhart,64901 County Road 11,Goshen,46526,3/17/2020,6/30/2020,Lun,MW,11:00 AM to 1:00 PM,(574) 862-2710,scripe@wanee.org,School Webpage with Meal Info
Wa-Nee Community Schools,Nappanee Elementary School,Elkhart,755 E Van Buren,Nappanee,46550,3/17/2020,6/30/2020,Lun,MW,11:00 AM to 1:00 PM,(574) 862-2710,scripe@wanee.org,School Webpage with Meal Info
Wa-Nee Community Schools,Meadows,Elkhart,11 Cardinal St,Nappanee,46550,3/17/2020,6/30/2020,Lun,MW,11:00 AM to 1:00 PM,(574) 862-2710,scripe@wanee.org,School Webpage with Meal Info
Wa-Nee Community Schools,NorthSide Apartments,Elkhart,1200 N. Main St.,Nappanee,46550,3/17/2020,6/30/2020,Lun,MW,11:00 AM to 1:00 PM,(574) 862-2710,scripe@wanee.org,School Webpage with Meal Info
Wa-Nee Community Schools,Northwood High School,Elkhart,2101 N Main,Nappanee,46550,3/17/2020,6/30/2020,Lun,MW,11:00 AM to 1:00 PM,(574) 862-2710,scripe@wanee.org,School Webpage with Meal Info
Elkhart Community Schools,Beardsley Elem. School,Elkhart,1135 Kent St.,Elkhart,46514-1741,3/18/2020,4/30/2020,Brk Lun,MW,11:05 AM to 11:30 AM,(574) 262-5575,,
Baugo Community School Corp,Jimtown Elementary School,Elkhart,58901 CR 3 South,Elkhart,46517-9303,3/16/2020,5/1/2020,Brk Lun,Contact school for more information,Contact school for more information,(574) 293-8583,kjohnson@baugo.org,School Webpage with Meal Info
Goshen Community Schools,Model Elementary School,Elkhart,412 S Greene Rd,Goshen,46526-1529,3/16/2020,5/31/2020,Brk Lun,MW,11:00 AM to 01:00 PM,(574) 533-7677,cpollock@goshenschools.org,
Goshen Community Schools,West Goshen Elementary School,Elkhart,215 Dewey Ave,Goshen,46526-2119,3/16/2020,5/31/2020,Brk Lun,MW,11:00 AM to 01:00 PM,(574) 533-7855,kmmiller@goshenschools.org,
Goshen Community Schools,Parkside Elementary School,Elkhart,1202 S 7th St,Goshen,46526-4373,3/16/2020,5/31/2020,Brk Lun,MW,11:00 AM to 01:00 PM,(574) 533-7765,ajacobs@goshenschools.org,
Goshen Community Schools,Waterford Elementary School,Elkhart,65560 State Rd. 15,Goshen,46526-5452,3/16/2020,5/31/2020,Brk Lun,MW,11:00 AM to 01:00 PM,(574) 533-6811,jfrye@goshenschools.org,
Goshen Community Schools,Prairie View Elementary,Elkhart,1730 Regent St,Goshen,46526-6305,3/16/2020,5/31/2020,Brk Lun,MW,11:00 AM to 01:00 PM,(574) 534-4710,cwruble@goshenschools.org,
Goshen Community Schools,Twin Pines Mobile Home Park,Elkhart,2011 W. Wilden Ave,Goshen,46528-1143,3/18/2020,5/31/2020,Brk Lun,MW,11:00 AM to 01:00 PM,(574) 533-0391,jsmith@goshenschools.org,
Goshen Community Schools,Chamberlain Elementary School,Elkhart,428 N. 5th St.,Goshen,46528-2861,3/16/2020,5/31/2020,Brk Lun,MW,11:00 AM to 01:00 PM,(574) 534-2691,bshrock@goshenschools.org,
Fairfield Community Schools,New Paris Elementary School,Elkhart,18665 County Road 46,New Paris,46553-9105,3/19/2020,6/30/2020,Brk Lun,MW,11:00 AM to 12:00 PM,(574) 831-2188,vrichardson@fairfield.k12.in.us,School Webpage with Meal Info
Fayette County School Corp,Connersville Middle School,Fayette,1800 Grand Avenue,Connersville,47331,3/23/2020,4/10/2020,Brk Lun,MW,11:15 AM to 11:30 AM,(765) 825-7841,mlacy@fayette.k12.in.us,
Fayette County School Corp,Connor Court Apartments,Fayette,1465 E State Road 44,Connersville,47331,3/16/2020,4/10/2020,Brk Lun,MW,12:30 PM to 12:45 PM,(765) 825-7841,robrien@fayette.k12.in.us,
Fayette County School Corp,Elephant Hill Trailer Court - Mobile Site,Fayette,1000 West 21st,Connersville,47331,3/16/2020,4/10/2020,Brk Lun,MW,01:00 PM to 01:15 PM,(765) 825-7841,robrien@fayette.k12.in.us,
Fayette County School Corp,Everton Elementary School,Fayette,2440 E Everton Rd,Connersville,47331,3/16/2020,4/10/2020,Brk Lun,MW,01:30 PM to 01:45 PM,(765) 825-7841,robrien@fayette.k12.in.us,
Fayette County School Corp,Frazee Elementary School,Fayette,600 West 3rd Street,Connersville,47331,3/16/2020,4/10/2020,Brk Lun,MW,10:45 AM to 11:00 AM,(765) 825-6811,robrien@fayette.k12.in.us,
Fayette County School Corp,Industrial Park - Mobile Site,Fayette,Mount Street,Connersville,47331,3/16/2020,4/10/2020,Brk Lun,MW,12:00 PM to 12:15 PM,(765) 825-7841,robrien@fayette.k12.in.us,
Fayette County School Corp,OffutsPark - Mobile Site,Fayette,Virgina Ave,Connersville,47331,3/16/2020,4/10/2020,Brk Lun,MW,11:20 AM to 11:35 AM,(765) 825-7841,robrien@fayette.k12.in.us,
Fayette County School Corp,Roberts Park Pool - Mobile Site,Fayette,2900 N. Park Road,Connersville,47331,3/16/2020,4/10/2020,Brk Lun,MW,12:00 PM to 12:15 PM,(765) 825-7841,robrien@fayette.k12.in.us,
New Albany-Floyd County Cons School Corporation,Floyd Central Jr.-Sr. High School,Floyd,6575 Old Vincennes Road,Floyds Knobs,47119,3/23/2020,5/31/2020,Brk Lun,MWF,12:00 PM to 01:30 PM,(812) 542-4703,pcasey@nafcs.k12.in.us,
New Albany-Floyd County Cons School Corporation,Green Valley Elementary School,Floyd,2230 Green Valley Rd,New Albany,47150,4/1/2020,5/30/2020,Brk Lun,MWF,11:00 AM to 12:30 PM,(812) 542-4703,pcasey@nafcs.k12.in.us,
New Albany-Floyd County Cons School Corporation,Hazelwood Junior High School,Floyd,1021 Hazelwood Ave,New Albany,47150,3/23/2020,5/30/2020,Brk Lun,MWF,11:30 AM to 12:30 PM,(812) 542-4703,pcasey@nafcs.k12.in.us,
New Albany-Floyd County Cons School Corporation,Mount Tabor School,Floyd,800 Mt Tabor Road,New Albany,47150,3/23/2020,5/31/2020,Brk Lun,MWF,12:00 PM to 01:30 PM,(812) 542-4703,pcasey@nafcs.k12.in.us,
Southeast Fountain School Corp,Southeast Fountain Elem. School,Fountain,780 E US Hwy 136,Veedersburg,11462,3/30/2020,6/30/2020,Brk Lun,Contact school for more information,Contact school for more information,(765) 294-2254,fosterd@sefschools.org,School Webpage with Meal Info
Attica Consolidated School Corp,Attica Elementary School,Fountain,500 E. Washington Street,Attica,47918,3/30/2020,5/1/2020,Brk Lun,MTWRF,11:00 AM to 01:00 PM,(765) 894-5154,dwilliams@attica.k12.in.us,
Rochester Community School Corp,Faith Outreach Center,Fulton,1125 E 9th St.,Rochester,46975,3/16/2020,5/30/2020,Brk Lun,MTWRF,11:00 AM to 12:30 PM,(574) 835-0347,sandy.kindig@zebras.net,
Rochester Community School Corp,Grace United Methodist,Fulton,201 W 7th St.,Rochester,46975,3/16/2020,5/30/2020,Brk Lun,MTWRF,11:00 AM to 12:30 PM,(574) 847-1072,,
Rochester Community School Corp,Mill Creek Missionary Church,Fulton,13336 N State Rd 25,Rochester,46975,3/16/2020,5/30/2020,Brk Lun,MTWRF,11:00 AM to 12:30 PM,(574) 223-4297,,
Rochester Community School Corp,Safe Harbor,Fulton,1944 Sweetgum Rd,Rochester,46975,3/16/2020,5/30/2020,Brk Lun,MTWRF,11:00 AM to 12:30 PM,(574) 224-4682,,
North Gibson School Corp,Princeton Middle School,Gibson,1106 N. Embree St.,Princeton,11145,3/17/2020,5/1/2020,Brk Lun,MTWRF,11:00 AM to 1:00 PM,(812) 385-2592,Jellis@ngsc.k12.in.us,School Webpage with Meal Info
East Gibson School Corp,Barton Township Elementary School,Gibson,9724 East Main,Oakland City,47660,3/16/2020,4/9/2020,Brk Lun,MTWRF,10:30 AM to 11:25 AM,(812) 795-2292,,
East Gibson School Corp,Francisco Elementary School,Gibson,302 East Main,Oakland City,47660,3/16/2020,4/9/2020,Brk Lun,MTWRF,10:30 AM to 11:30 AM,(812) 782-3207,,
East Gibson School Corp,Oakland City Elementary School,Gibson,945 B South Franklin,Oakland City,47660,3/16/2020,4/9/2020,Brk Lun,MTWRF,10:30 AM to 11:30 AM,(812) 749-3479,brewster-allison@aramark.com,
Oak Hill United School Corp,Swayzee Elementary School,Grant,405 South Washington,Swayzee,46086,3/16/2020,4/30/2020,Brk Lun,Contact school for more information,Contact school for more information,(765) 395-3341,danaso@ohusc.k12.in.us,School Webpage with Meal Info
Madison-Grant United School Corp,Park Elementary School,Grant,500 S Sycamore,Fairmount,46928,3/18/2020,5/29/2020,Brk Sup,MW,05:00 PM to 06:00 PM,(765) 536-0084,,
Mississinewa Community Schools,Mississinewa High School,Grant,1 Indian Trail,Gas City,46933,3/16/2020,4/6/2020,Brk Lun,MTWRF,02:45 PM to 04:00 PM,(765) 674-2248,lori_ailes@olemiss.k12.in.us,
Mississinewa Community Schools,Westview Elementary School,Grant,709 W. 6th. St.,Jonesboro,46938,3/16/2020,4/6/2020,Brk Lun,MTWRF,02:45 PM to 04:00 PM,(765) 677-4441,teresa_clevenger@olemiss.k12.in.us,
Eastbrook Community School Corp,Eastbrook Jr/Sr High School,Grant,560 S 900 E,Marion,46953,3/18/2020,5/29/2020,Brk Sup,MW,05:00 PM to 06:00 PM,(765) 664-1214,kbernaix@eastbrook.k12.in.us,
Eastbrook Community School Corp,Eastbrook South Elementary,Grant,694 S 2nd Street,Upland,46989,3/18/2020,5/29/2020,Brk Sup,MW,04:00 PM to 06:00 PM,(765) 998-2550,,
Eastbrook Community School Corp,Eastbrook North Elementary,Grant,504 S First Street,Van Buren,46991,3/18/2020,5/29/2020,Brk Sup,MW,05:00 PM to 06:00 PM,(765) 934-3551,,
Eastern Greene Schools,Eastern Greene School,Greene,10503 E State Road 54,Bloomfield,47424,3/23/2020,5/1/2020,Brk Lun,MR,11:00 AM to 12:00 PM,(812) 825-5623,slagenour@egreene.k12.in.us,
"Shakamak, MSD of",Shakamak High School,Greene,9233 Shakamak School Road,Jasonville,47438,3/16/2020,4/3/2020,Brk Lun,Contact school for more information,Contact school for more information,(812) 665-3550,tstreet@shakamak.k12.in.us,School Webpage with Meal Info
Linton-Stockton School Corp,Linton-Stockton Jr.-Sr. High School,Greene,10 H St. NE,Linton,47441,3/16/2020,4/3/2020,Lun,Contact school for more information,Contact school for more information,(812) 847-6024,jtaylor@lssc.k12.in.us,School Webpage with Meal Info
White River Valley School Corp,White River Valley MIddle School,Greene,2926 S State Road 67,Lyons,47443,3/16/2020,4/3/2020,Lun,Contact school for more information,Contact school for more information,(812) 659-2274,rwiggington@wrv.k12.in.us,School Webpage with Meal Info
White River Valley School Corp,Lyons First Christian Church,Greene,524 E Broad St,Lyons,47443,3/17/2020,4/3/2020,Lun,Contact school for more information,Contact school for more information,(812) 659-2274,rwiggington@wrv.k12.in.us,School Webpage with Meal Info
White River Valley School Corp,White River Valley High School,Greene,5644 W State Road 54,Switz City,47465,3/16/2020,4/3/2020,Lun,Contact school for more information,Contact school for more information,(812) 659-2274,rwiggington@wrv.k12.in.us,School Webpage with Meal Info
White River Valley School Corp,White River Valley Elementary School,Greene,484 W. Main,Worthington,47471,3/16/2020,4/3/2020,Lun,Contact school for more information,Contact school for more information,(812) 659-2274,rwiggington@wrv.k12.in.us,School Webpage with Meal Info
White River Valley School Corp,Faithway Bible Church,Greene,309 E Christian St,Worthington,47471,3/17/2020,4/3/2020,Lun,Contact school for more information,Contact school for more information,(812) 659-2274,rwiggington@wrv.k12.in.us,School Webpage with Meal Info
Bloomfield School District,Bloomfield Jr/Sr High School,Greene,501 W. Spring Street,Bloomfield,47424-1111,3/30/2020,5/1/2020,Brk Lun,MTWRF,11:00 AM to 12:00 PM,(812) 227-1112,,
Hamilton Heights School Corp,Hamilton Heights Middle School,Hamilton,420 W North Street,Arcadia,46030,3/17/2020,5/31/2020,Brk Lun,MTWRF,12:00 PM to 01:00 PM,(317) 984-1530,phicks@huskies.org,
Carmel Clay School Corp,Carmel High School,Hamilton,520 E. Main Street,Carmel,46032,3/16/2020,5/28/2020,Brk Lun,Contact school for more information,Contact school for more information,(317) 844-9961,jmcfarla@ccs.k12.in.us,School Webpage with Meal Info
Westfield Washington Schools,Christ Community Church,Hamilton,20854 Lamong Road,Sheridan,46069,3/16/2020,5/1/2020,Brk Lun,MR,11:40 AM to 12:00 PM,(317) 777-2748,whscafe@wws.k12.in.us,
Westfield Washington Schools,Hortonville UMC,Hamilton,20500 Horton Road,Sheridan,46069,3/16/2020,5/1/2020,Brk Lun,MR,12:00 PM to 12:30 PM,(317) 777-2748,whscafe@wws.k12.in.us,
Sheridan Community Schools,Sheridan Water Tower,Hamilton,4000 47th street,Sheridan,46069,3/16/2020,5/1/2020,Lun,Contact school for more information,Contact school for more information,(317) 758-4431,nmosna@sheridan.k12.in.us,School Webpage with Meal Info
Sheridan Community Schools,United Animal Health,Hamilton,214 South Main,Sheridan,46069,3/16/2020,5/1/2020,Lun,Contact school for more information,Contact school for more information,(317) 758-4431,nmosna@sheridan.k12.in.us,School Webpage with Meal Info
Westfield Washington Schools,Casey Acres,Hamilton,1270 Sabrina Way,Westfield,46074,3/16/2020,5/1/2020,Brk Lun,MR,12:00 PM to 12:30 PM,(317) 867-8060,wiscafe@wws.k12.in.us,
Westfield Washington Schools,Monon Trail Elementary,Hamilton,19400 Tomlinson Rd,Westfield,46074,3/16/2020,5/1/2020,Brk Lun,MR,11:00 AM to 11:30 AM,(317) 867-8049,demoj@wws.k12.in.us,
Westfield Washington Schools,North Glen Village,Hamilton,292 South Drive,Westfield,46074,3/16/2020,5/1/2020,Brk Lun,MR,12:00 PM to 12:30 PM,(317) 867-8049,demoj@wws.k12.in.us,
Westfield Washington Schools,Westfield Playhouse,Hamilton,1836 IN 32,Westfield,46074,3/16/2020,5/1/2020,Brk Lun,MR,11:30 AM to 12:00 PM,(317) 777-2748,whscafe@wws.k12.in.us,
Mt Vernon Community School,Mount Vernon High School,Hancock,8112 N. 200 W.,Fortville,46040,3/31/2020,4/30/2020,Brk Lun,"T (3/31 only), M (going forward)",11:00 AM to 1:00 PM,(317) 485-3100,Doris.johnson@mvcsc.k12.in.us,School Webpage with Meal Info
Greenfield Central Community School Corporation,Greenfield Central Junior High,Hancock,1440 North Franklin Road,Greenfield,46140,3/23/2020,6/1/2020,Brk Lun,MTWRF,11:00 AM to 12:30 PM,(317) 462-4434,kangot@gcsc.k12.in.us,
Greenfield Central Community School Corporation,Harris Elementary School,Hancock,200 West Park Ave,Greenfield,46140,3/23/2020,6/1/2020,Brk Lun,MTWRF,11:30 AM to 01:00 PM,(317) 467-6731,sadams@gcsc.k12.in.us,
Greenfield Central Community School Corporation,Maxwell Intermediate School,Hancock,102 North Main Street,Maxwell,46140,3/23/2020,6/1/2020,Brk Lun,MTWRF,11:30 AM to 01:00 PM,(317) 326-3121,bwagner@gcsc.k12.in.us,
Greenfield Central Community School Corporation,Weston Elementary School,Hancock,140 Polk Street,Greenfield,46140,3/23/2020,6/1/2020,Brk Lun,MTWRF,11:30 AM to 01:00 PM,(317) 462-1492,dmiles@gcsc.k12.in.us,
Greenfield Central Community School Corporation,J B Stephens Elementary School,Hancock,1331 North Blue Road,Greenfield,46146,3/23/2020,6/1/2020,Brk Lun,MTWRF,11:30 AM to 01:00 PM,(317) 462-4491,lhood@gcsc.k12.in.us,
"Southern Hancock County, CSC of",New Palestine High School,Hancock,4485 S Victory Dr,New Palestine,46163,3/17/2020,5/1/2020,Brk Lun,Contact school for more information,Contact school for more information,(317) 861-4463,cigo@newpal.k12.in.us,School Webpage with Meal Info
CSC of Eastern Hancock County,Eastern Hancock Elementary School,Hancock,10450 E 250 N,Charlottesville,46117-9725,3/16/2020,5/28/2020,Lun,Contact school for more information,Contact school for more information,(317) 467-0064,twilson@easternhancock.org,School Webpage with Meal Info
Greenfield Central Community School Corporation,Greenfield Central High School,Hancock,810 N. Broadway,Greenfield,46140-1494,3/23/2020,6/1/2020,Brk Lun,MTWRF,11:30 AM to 01:00 PM,(317) 462-9211,ladams@gcsc.k12.in.us,
South Harrison Community Schools,Heth-Washington Grade School,Harrison,2450 Heth-Washington Road Sw,Central,47110,3/30/2020,5/24/2020,Brk Lun,MR,12:00 PM to 2:00 PM,(812) 738-4181,zimmermans@shcsc.k12.in.us,School Webpage with Meal Info
South Harrison Community Schools,Corydon Central High,Harrison,375 Country Club Road,Corydon,47112,3/30/2020,5/24/2020,Brk Lun,MR,12:00 PM to 2:00 PM,(812) 738-4181,zimmermans@shcsc.k12.in.us,School Webpage with Meal Info
South Harrison Community Schools,Corydon Elementary School,Harrison,125 Beechmont Drive,Corydon,47112,3/30/2020,5/24/2020,Brk Lun,MR,12:00 PM to 2:00 PM,(812) 738-4181,zimmermans@shcsc.k12.in.us,School Webpage with Meal Info
South Harrison Community Schools,South Central Elementary School,Harrison,6595 E. Hwy 11 Se,Elizabeth,47117,3/30/2020,5/24/2020,Brk Lun,MR,12:00 PM to 2:00 PM,(812) 738-4181,zimmermans@shcsc.k12.in.us,School Webpage with Meal Info
North Harrison Comm School Corp,Morgan Elementary School,Harrison,12225 Old Hwy 135,Palmyra,47164,3/16/2020,4/30/2020,Brk Lun,Contact school for more information,Contact school for more information,(812) 347-3905,kchinn@nhcs.k12.in.us,School Webpage with Meal Info
Danville Community School Corp,South Elementary School,Hendricks,1375 W Lincoln St,Danville,46122,3/16/2020,7/31/2020,Brk Lun,MTWRF,11:00 AM to 01:00 PM,(317) 745-6431,scooper@danville.k12.in.us,
Plainfield Community School Corp,Mobile Rt 1- NE Plainfield,Hendricks,985 Longfellow Lane,Plainfield,46168,3/16/2020,5/1/2020,Brk Lun,MTWRF,11:40 AM to 01:30 PM,(317) 432-2960,mrookstool@plainfield.k12.in.us,Delivery instead of on-site pickup
Plainfield Community School Corp,Mobile Rt 4- Central Plainfield,Hendricks,985 Longfellow Lane,Plainfield,46168,3/16/2020,5/1/2020,Brk Lun,MTWRF,12:30 PM to 01:30 PM,(317) 945-4427,nmuller@plainfield.k12.in.us,Delivery instead of on-site pickup
Danville Community School Corp,Danville Community High School,Hendricks,200 Warrior Way,Danville,46122-9119,3/16/2020,7/31/2020,Brk Lun,MTWRF,11:00 AM to 01:00 PM,(317) 745-2212,scooper@danville.k12.in.us,
New Castle Community School Corp,Eastwood Elementary School,Henry,806 S 22nd Street,New Castle,47362,3/16/2020,7/24/2020,Brk Lun,MTWRF,11:30 AM to 01:30 PM,(765) 521-7243,swright@ncweb.me,
New Castle Community School Corp,Parker Elementary School,Henry,1819 Roosevelt Ave,"New Castle, IN",47362,3/18/2020,7/24/2020,Brk Lun,MTWR,11:30 AM to 01:30 PM,(765) 521-7245,mthronbro@ncweb.me,
New Castle Community School Corp,Wilbur Wright Elementary School,Henry,1950 Washington Street,New Castle,47362,3/18/2020,7/24/2020,Brk Lun,MTWR,11:30 AM to 01:30 PM,(765) 521-7249,CWALLS@NCWEB.ME,
South Henry School Corp,Mobile Route 1,Henry,6972 Indiana 103,Straughn,47387,3/30/2020,5/1/2020,Brk Lun ,MTWRF,10:00 AM to 11:00 AM,(765) 987-7988,azentz@shenry.k12.in.us,Delivery instead of on-site pickup
Kokomo School Corporation,Bon Air Middle School,Howard,2800 Apperson Way North,Kokomo,46901,3/18/2020,5/29/2020,Brk Lun,W,10:00 AM to 12:00 PM,(765) 454-7112,ebrovont@kokomo.k12.in.us,
Kokomo School Corporation,Central Middle School,Howard,300 E Superior Street 46901,Kokomo,46901,3/16/2020,5/29/2020,Brk Lun,MTWRF,10:00 AM to 12:00 PM,(765) 454-7112,ebrovont@kokomo.k12.in.us,
Northwestern School Corporation,Howard Elementary School,Howard,3526N Rd 300 E,Kokomo,46901,3/16/2020,4/30/2020,Brk Lun,Contact school for more information,Contact school for more information,(765) 457-8101,hope.neuzerling@nwsc.k12.in.us,School Webpage with Meal Info
Kokomo School Corporation,Maple Crest Middle School,Howard,2727 S Washington Street,Kokomo,46902,3/16/2020,5/29/2020,Brk Lun,MTWRF,10:00 AM to 12:00 PM,(765) 454-7112,ebrovont@kokomo.k12.in.us,
Taylor Community School Corp,Taylor Elementary,Howard,5500 Wea Dr,Kokomo,46902,3/18/2020,5/30/2020,Lun,T,11:00 AM to 12:30 PM,(765) 453-1101,pbolin@taylor.k12.in.us,
Huntington County Community School Corporation,Andrews Elementary School,Huntington,509 East Jefferson St.,Andrews,46702,3/19/2020,5/31/2020,Brk Lun,R,11:00 AM to 01:00 PM,(260) 356-6104,hruest@hccsc.k12.in.us,
Huntington County Community School Corporation,Huntington North High School,Huntington,Huntington North High School,Huntington,46750,3/19/2020,5/31/2020,Brk Lun,R,11:30 AM to 01:30 PM,(260) 356-6104,kakins@hccsc.k12.in.us,
Huntington County Community School Corporation,Salamonie School,Huntington,1063 E 900 S,Warren,46792,3/16/2020,5/31/2020,Brk Lun,R,11:30 AM to 12:30 PM,(260) 356-6104,msliger@hccsc.k12.in.us,
Brownstown Central Community School Corporation,Brownstown Central High School,Jackson,500 N Elm Street,Brownstown,47220,3/16/2020,5/22/2020,Brk Lun,Contact school for more information,Contact school for more information,(812) 358-3453,BCfoodaid@gmail.com,School Webpage with Meal Info
Medora Community School Corp,Closure Mobile Bus Route,Jackson,82 S Geprge St,Medora,47260,3/16/2020,5/21/2020,Brk Lun,MTWRF,11:00 AM to 12:00 PM,(812) 966-2210,rbane@medora.k12.in.us,Delivery instead of on-site pickup
